time_stamp,distance,price,surge_multiplier,id
1543351884055,5.22,13.5,1.0,841a150e-56a8-4ca3-a2c4-56c2646d05bc
1543352062892,3.4,11.0,1.0,4ef6d9d3-f8c2-482a-9df9-f59870da3b63
1543352422541,1.0,9.0,1.25,b374451b-d3f1-45b1-96d7-44f81760cbfe
1543352962617,0.49,9.0,1.25,a58ae5d3-8269-406c-83ee-568cc05eeffe
1543353142835,1.01,7.0,1.0,1ba5eb8d-5a6a-46da-9a3d-9622eb2629b2
1543353682261,0.44,7.0,1.0,9798bdd2-b7ae-410d-a00e-aac82f4016fa
1543353683683,1.01,7.0,1.0,29b28a63-05df-40ec-8919-f3ec608c793b
1543353863648,5.41,13.5,1.0,899a36de-0424-4218-8217-db9c7de10f80
1543353864535,4.54,13.5,1.0,308c80bd-fb7b-4e1a-bc89-f12de818ff35
1543354042293,1.26,7.0,1.0,c6285624-d82e-409a-a8bb-ddf47ba14ec5
1543354042682,5.2,13.5,1.0,f4b002f9-f1e5-4edd-8a5f-076806b060c5
1543354225781,1.01,7.0,1.0,adb4f187-ccfd-470f-ab1e-834b6df3e75d
1543354402255,5.35,13.5,1.0,e947b4af-dfee-4633-870b-93069e87b326
1543354402467,1.09,9.0,1.25,bc83b406-5a68-4511-9f17-a72c283e2675
1543354402996,3.68,13.5,1.0,c3b21a71-8c14-4485-86b9-fa9e65af098b
1543354942288,1.04,7.0,1.0,49641a5d-4e18-4871-9761-fc87ea42f84d
1543355122651,0.99,7.0,1.0,0ec127aa-4a37-4242-89b6-9883f56b1b7e
1543355482030,3.43,10.5,1.0,341a25cb-4491-4b91-9fe4-26a791122bef
1543356023056,5.26,13.5,1.0,92836c16-8eda-4b25-814b-ed5750355e9e
1543356024589,5.34,16.5,1.25,aaf77b90-f12b-4260-81e3-2b08e8dcf28a
1543356202010,4.49,13.5,1.0,dfa5b6e5-dd6d-41c9-80fd-8f5f2cfa7a31
1543356203757,1.0,7.0,1.0,c2c4da4c-c8b8-47dc-8006-8ee1772c9764
1543356383387,0.44,7.0,1.0,a8a6fe1c-66a5-495b-9e96-0983b75df80a
1543356383387,4.57,13.5,1.0,6cf698ca-89b6-4096-81bc-f114790c51b2
1543357101960,1.11,7.0,1.0,49c8cc41-05a2-41d2-89d3-f66caa0df1ae
1543357282511,0.4,7.0,1.0,c41539aa-721c-42f8-867c-6ff3d0da61e6
1543357463275,0.97,9.0,1.0,b753a820-e5d3-4c52-99c2-232389b6c66f
1543357642148,1.01,7.0,1.0,f503db13-2191-4268-ae2a-59165511988e
1543357642264,4.61,13.5,1.0,35ab0dc1-db33-498e-a84c-5a2266effaa7
1543357645879,4.51,13.5,1.0,0d84e5e6-ad8c-47b5-9ea2-4531685eb54a
1543358002741,3.4,11.0,1.0,dbe94c41-cc3a-4467-a31a-e31231dfe74c
1543358364060,3.46,10.5,1.0,b461bd0b-e5de-4c25-b335-ca368a73c787
1543358542098,3.19,11.0,1.0,cc7db48a-14ab-4760-94d0-2554c983b277
1543358542285,1.03,7.0,1.0,6d313a83-5290-40ab-801f-9debb3e465d9
1543358724216,6.09,16.5,1.0,c7186d82-ecee-436b-8246-801c0cbcec27
1543359442759,4.44,13.5,1.0,65e8c36d-822c-4ade-ae4d-f9955bda31fa
1543359802403,4.54,13.5,1.0,987fef6f-9a52-43ea-8eb5-2c6ca295276a
1543359981899,1.01,7.0,1.0,2444ce4b-3b9e-464d-a8e0-345d8e3d3a79
1543359982539,0.48,5.0,1.0,7384e416-ffa6-44ed-80e6-eb5b8f62a8d4
